routine_schema,routine_name,routine_type,data_type
public,cleanup_expired_trials,FUNCTION,record
public,get_subscription_days_left,FUNCTION,integer
public,is_subscription_active,FUNCTION,boolean
public,is_subscription_active,FUNCTION,boolean
public,set_updated_at,FUNCTION,trigger
public,sync_store_subscription_status,FUNCTION,trigger
public,touch_updated_at,FUNCTION,trigger
public,update_push_subscriptions_updated_at,FUNCTION,trigger
public,update_subscription_updated_at,FUNCTION,trigger
public,update_updated_at_column,FUNCTION,trigger
public,update_user_subscriptions_updated_at,FUNCTION,trigger
public,update_whatsapp_queue_updated_at,FUNCTION,trigger
